i1 i2 i0 a
1 1 1 0
1 2 1 0
1 3 1 0
1 4 1 0
1 5 1 0
1 6 1 0
1 7 1 0
1 8 1 0
1 9 1 0
2 1 1 0
2 2 1 0
2 3 1 0
2 4 1 0
2 5 1 0
2 6 1 0
2 7 1 0
2 8 1 0
2 9 1 0
3 1 1 1
3 2 1 0
3 3 1 1
3 4 1 0
3 5 1 0
3 6 1 0
3 7 1 0
3 8 1 0
3 9 1 0
4 1 1 1
4 2 1 1
4 3 1 0
4 4 1 0
4 5 1 0
4 6 1 0
4 7 1 0
4 8 1 0
4 9 1 0
5 1 1 1
5 2 1 1
5 3 1 1
5 4 1 1
5 5 1 1
5 6 1 1
5 7 1 1
5 8 1 1
5 9 1 1
6 10 1 3
6 11 1 3
7 10 1 1
7 11 1 3
8 10 1 1
8 11 1 3
9 10 1 1
9 11 1 3
10 10 1 1
10 11 1 3
11 10 1 3
11 11 1 3
i1 i2 i0 a
1 1 1 0
1 2 1 0
1 3 1 0
1 4 1 0
1 5 1 0
1 6 1 0
1 7 1 0
1 8 1 0
1 9 1 0
2 1 1 0
2 2 1 0
2 3 1 0
2 4 1 0
2 5 1 0
2 6 1 0
2 7 1 0
2 8 1 0
2 9 1 0
3 1 1 1
3 2 1 0
3 3 1 1
3 4 1 0
3 5 1 0
3 6 1 0
3 7 1 0
3 8 1 0
3 9 1 0
4 1 1 1
4 2 1 1
4 3 1 0
4 4 1 0
4 5 1 0
4 6 1 0
4 7 1 0
4 8 1 0
4 9 1 0
5 1 1 1
5 2 1 1
5 3 1 1
5 4 1 1
5 5 1 1
5 6 1 1
5 7 1 1
5 8 1 1
5 9 1 1
6 10 1 3
6 11 1 3
7 10 1 1
7 11 1 3
8 10 1 1
8 11 1 3
9 10 1 1
9 11 1 3
10 10 1 1
10 11 1 3
11 10 1 3
11 11 1 3
i1 i2 i0 a
1 1 1 0
1 2 1 0
1 3 1 0
1 4 1 0
1 5 1 0
1 6 1 0
1 7 1 0
1 8 1 0
1 9 1 0
2 1 1 0
2 2 1 0
2 3 1 0
2 4 1 0
2 5 1 0
2 6 1 0
2 7 1 0
2 8 1 0
2 9 1 0
3 1 1 1
3 2 1 0
3 3 1 1
3 4 1 0
3 5 1 0
3 6 1 0
3 7 1 0
3 8 1 0
3 9 1 0
4 1 1 1
4 2 1 1
4 3 1 0
4 4 1 0
4 5 1 0
4 6 1 0
4 7 1 0
4 8 1 0
4 9 1 0
5 1 1 1
5 2 1 1
5 3 1 1
5 4 1 1
5 5 1 1
5 6 1 1
5 7 1 1
5 8 1 1
5 9 1 1
6 10 1 3
6 11 1 3
7 10 1 1
7 11 1 3
8 10 1 1
8 11 1 3
9 10 1 1
9 11 1 3
10 10 1 1
10 11 1 3
11 10 1 3
11 11 1 3
