Hello, this output is made to plot some results for shifting PM.
The settings used are the exact setting as in Schoute paper table 2:
p-ARP
delta = 0.2
alpha = 1 year
beta = 2
averge cm = 50
average pm = 10
startstate: i=(i0,i1)=(0,1)
v=5

x deltaCost
-5 8.914238588604448
-4 6.288926227709471
-3 3.9837089806387627
-2 2.100986527977859
-1 0.7988950681871501
0 0.0
1 0.02184622872068178
2 0.4506033799679753
3 0.8707005214347497
4 1.8424631310914745
5 3.259638679707293
6 4.974532163680353
7 6.618699011127157
8 7.99836686639021
9 9.075043520720428
10 9.889588512356205
11 10.527255865289519
12 11.036109671570623
13 11.515449252818389
14 11.940095466149398
15 12.288325295593161
16 12.62155066665236
17 12.923998324254452
18 13.181831502304785
19 13.377935742926077
20 13.514463096932124
21 13.603734670334264
22 13.65989101637171
23 13.6953095666877










