Hello, this output is made to plot some results for shifting PM.
The settings used are the exact setting as in Schoute paper table 2:
p-ARP
delta = 0.2
alpha = 1 year
beta = 2
averge cm = 50
average pm = 10

startstate: i=(i0,i1)=(5,1)
v=4

x deltaCost
-4 5.893635639216512
-3 3.818938049108315
-2 2.3061584950907337
-1 0.7454066625339048
0 0.0
1 0.07077384814000862
2 0.9094106079663767
3 2.0105143907498095
4 3.0646915941234307
5 3.9732584941751297
6 4.747474296478847
7 5.481132196696235
8 6.183062105871696
9 7.035248302563579
10 7.902476323100827
11 8.665398955362214
12 9.506388336340239
13 10.364635601388091
14 11.176751462813165
15 11.847929790806202
16 12.3509903079396
17 12.704374083121113
18 12.943603277688855
19 13.107170115771265
20 13.220832153873726
21 13.310195248645693
22 13.379362392637082
23 13.430803956634305
