i1 i2 i0 a
0 0 9 3
0 1 9 1
0 2 9 1
0 3 9 1
0 4 9 3
0 5 9 3
0 6 9 3
0 7 9 3
0 8 9 3
0 9 9 3
0 10 9 3
0 11 9 3
0 12 9 3
1 0 9 2
1 1 9 0
1 2 9 0
1 3 9 0
1 4 9 0
1 5 9 0
1 6 9 0
1 7 9 0
1 8 9 0
1 9 9 0
1 10 9 0
1 11 9 0
1 12 9 2
2 0 9 3
2 1 9 0
2 2 9 0
2 3 9 0
2 4 9 0
2 5 9 0
2 6 9 0
2 7 9 0
2 8 9 0
2 9 9 0
2 10 9 0
2 11 9 0
2 12 9 3
3 0 9 3
3 1 9 0
3 2 9 0
3 3 9 0
3 4 9 0
3 5 9 0
3 6 9 0
3 7 9 0
3 8 9 3
3 9 9 3
3 10 9 3
3 11 9 3
3 12 9 3
4 0 9 3
4 1 9 1
4 2 9 1
4 3 9 1
4 4 9 3
4 5 9 3
4 6 9 3
4 7 9 3
4 8 9 3
4 9 9 3
4 10 9 3
4 11 9 3
4 12 9 3
5 0 9 3
5 1 9 1
5 2 9 1
5 3 9 3
5 4 9 3
5 5 9 3
5 6 9 3
5 7 9 3
5 8 9 3
5 9 9 3
5 10 9 3
5 11 9 3
5 12 9 3
6 0 9 3
6 1 9 1
6 2 9 1
6 3 9 3
6 4 9 3
6 5 9 3
6 6 9 3
6 7 9 3
6 8 9 3
6 9 9 3
6 10 9 3
6 11 9 3
6 12 9 3
7 0 9 3
7 1 9 1
7 2 9 1
7 3 9 3
7 4 9 3
7 5 9 3
7 6 9 3
7 7 9 3
7 8 9 3
7 9 9 3
7 10 9 3
7 11 9 3
7 12 9 3
8 0 9 3
8 1 9 1
8 2 9 1
8 3 9 3
8 4 9 3
8 5 9 3
8 6 9 3
8 7 9 3
8 8 9 3
8 9 9 3
8 10 9 3
8 11 9 3
8 12 9 3
9 0 9 3
9 1 9 1
9 2 9 1
9 3 9 3
9 4 9 3
9 5 9 3
9 6 9 3
9 7 9 3
9 8 9 3
9 9 9 3
9 10 9 3
9 11 9 3
9 12 9 3
10 0 9 3
10 1 9 1
10 2 9 1
10 3 9 3
10 4 9 3
10 5 9 3
10 6 9 3
10 7 9 3
10 8 9 3
10 9 9 3
10 10 9 3
10 11 9 3
10 12 9 3
11 0 9 3
11 1 9 1
11 2 9 3
11 3 9 3
11 4 9 3
11 5 9 3
11 6 9 3
11 7 9 3
11 8 9 3
11 9 9 3
11 10 9 3
11 11 9 3
11 12 9 3
12 0 9 3
12 1 9 1
12 2 9 3
12 3 9 3
12 4 9 3
12 5 9 3
12 6 9 3
12 7 9 3
12 8 9 3
12 9 9 3
12 10 9 3
12 11 9 3
12 12 9 3
