i1 i2 i0 a
0 0 6 3
0 1 6 1
0 2 6 1
0 3 6 1
0 4 6 1
0 5 6 3
0 6 6 3
0 7 6 3
0 8 6 3
0 9 6 3
0 10 6 3
0 11 6 3
0 12 6 3
1 0 6 2
1 1 6 0
1 2 6 0
1 3 6 0
1 4 6 0
1 5 6 0
1 6 6 0
1 7 6 0
1 8 6 2
1 9 6 2
1 10 6 2
1 11 6 2
1 12 6 2
2 0 6 3
2 1 6 1
2 2 6 1
2 3 6 1
2 4 6 1
2 5 6 3
2 6 6 3
2 7 6 3
2 8 6 3
2 9 6 3
2 10 6 3
2 11 6 3
2 12 6 2
3 0 6 3
3 1 6 1
3 2 6 1
3 3 6 1
3 4 6 1
3 5 6 3
3 6 6 3
3 7 6 3
3 8 6 3
3 9 6 3
3 10 6 3
3 11 6 3
3 12 6 2
4 0 6 3
4 1 6 1
4 2 6 1
4 3 6 1
4 4 6 1
4 5 6 3
4 6 6 3
4 7 6 3
4 8 6 3
4 9 6 3
4 10 6 3
4 11 6 3
4 12 6 2
5 0 6 3
5 1 6 1
5 2 6 1
5 3 6 1
5 4 6 1
5 5 6 3
5 6 6 3
5 7 6 3
5 8 6 3
5 9 6 3
5 10 6 3
5 11 6 3
5 12 6 2
6 0 6 3
6 1 6 1
6 2 6 1
6 3 6 1
6 4 6 1
6 5 6 3
6 6 6 3
6 7 6 3
6 8 6 3
6 9 6 3
6 10 6 3
6 11 6 3
6 12 6 2
7 0 6 2
7 1 6 0
7 2 6 0
7 3 6 0
7 4 6 0
7 5 6 0
7 6 6 0
7 7 6 0
7 8 6 0
7 9 6 0
7 10 6 0
7 11 6 0
7 12 6 2
8 0 6 2
8 1 6 0
8 2 6 0
8 3 6 0
8 4 6 0
8 5 6 0
8 6 6 0
8 7 6 0
8 8 6 0
8 9 6 0
8 10 6 0
8 11 6 0
8 12 6 2
9 0 6 2
9 1 6 0
9 2 6 0
9 3 6 0
9 4 6 0
9 5 6 0
9 6 6 0
9 7 6 0
9 8 6 0
9 9 6 0
9 10 6 0
9 11 6 0
9 12 6 2
10 0 6 3
10 1 6 1
10 2 6 1
10 3 6 1
10 4 6 1
10 5 6 1
10 6 6 1
10 7 6 1
10 8 6 1
10 9 6 1
10 10 6 1
10 11 6 1
10 12 6 3
11 0 6 3
11 1 6 1
11 2 6 1
11 3 6 1
11 4 6 1
11 5 6 1
11 6 6 1
11 7 6 1
11 8 6 1
11 9 6 1
11 10 6 1
11 11 6 1
11 12 6 3
12 0 6 3
12 1 6 1
12 2 6 1
12 3 6 1
12 4 6 1
12 5 6 1
12 6 6 1
12 7 6 1
12 8 6 1
12 9 6 1
12 10 6 1
12 11 6 1
12 12 6 3
