i1 i2 i0 a
0 0 6 3
0 1 6 1
0 2 6 1
0 3 6 1
0 4 6 1
0 5 6 1
0 6 6 1
0 7 6 1
0 8 6 1
0 9 6 1
0 10 6 1
0 11 6 1
1 0 6 2
1 1 6 0
1 2 6 0
1 3 6 0
1 4 6 0
1 5 6 0
1 6 6 0
1 7 6 0
1 8 6 0
1 9 6 0
1 10 6 0
1 11 6 0
2 0 6 2
2 1 6 0
2 2 6 0
2 3 6 0
2 4 6 0
2 5 6 0
2 6 6 0
2 7 6 0
2 8 6 0
2 9 6 0
2 10 6 0
2 11 6 0
3 0 6 2
3 1 6 0
3 2 6 0
3 3 6 0
3 4 6 0
3 5 6 0
3 6 6 0
3 7 6 0
3 8 6 0
4 0 6 2
4 1 6 0
4 2 6 0
4 3 6 0
4 4 6 0
4 5 6 0
4 6 6 0
4 7 6 0
4 8 6 0
4 9 6 0
4 10 6 0
4 11 6 0
5 0 6 2
5 1 6 0
5 2 6 0
5 3 6 0
5 4 6 0
5 5 6 0
5 6 6 0
5 7 6 0
5 8 6 0
5 9 6 0
5 10 6 0
5 11 6 0
