i1 i2 i0 a
1 1 10 0
1 2 10 0
1 3 10 0
1 4 10 0
1 5 10 0
1 6 10 0
1 7 10 0
1 8 10 0
1 9 10 0
2 1 10 0
2 2 10 0
2 3 10 0
2 4 10 0
2 5 10 0
2 6 10 0
2 7 10 0
2 8 10 0
2 9 10 0
3 1 10 1
3 2 10 1
3 3 10 0
3 4 10 0
3 5 10 0
3 6 10 0
3 7 10 0
3 8 10 0
3 9 10 0
4 1 10 0
4 2 10 0
4 3 10 1
4 4 10 1
4 5 10 1
4 6 10 1
4 7 10 0
4 8 10 0
4 9 10 1
5 1 10 1
5 2 10 1
5 3 10 0
5 4 10 1
5 5 10 1
5 6 10 1
5 7 10 1
5 8 10 3
5 9 10 3
i1 i2 i0 a
1 1 10 0
1 2 10 0
1 3 10 0
1 4 10 0
1 5 10 0
1 6 10 0
1 7 10 0
1 8 10 0
1 9 10 0
2 1 10 0
2 2 10 0
2 3 10 0
2 4 10 0
2 5 10 0
2 6 10 0
2 7 10 0
2 8 10 0
2 9 10 0
3 1 10 1
3 2 10 1
3 3 10 0
3 4 10 0
3 5 10 0
3 6 10 0
3 7 10 0
3 8 10 0
3 9 10 0
4 1 10 0
4 2 10 0
4 3 10 1
4 4 10 1
4 5 10 1
4 6 10 1
4 7 10 0
4 8 10 0
4 9 10 1
5 1 10 1
5 2 10 1
5 3 10 0
5 4 10 1
5 5 10 1
5 6 10 1
5 7 10 1
5 8 10 3
5 9 10 3
i1 i2 i0 a
1 1 10 0
1 2 10 0
1 3 10 0
1 4 10 0
1 5 10 0
1 6 10 0
1 7 10 0
1 8 10 0
1 9 10 0
2 1 10 0
2 2 10 0
2 3 10 0
2 4 10 0
2 5 10 0
2 6 10 0
2 7 10 0
2 8 10 0
2 9 10 0
3 1 10 1
3 2 10 1
3 3 10 0
3 4 10 0
3 5 10 0
3 6 10 0
3 7 10 0
3 8 10 0
3 9 10 0
4 1 10 0
4 2 10 0
4 3 10 1
4 4 10 1
4 5 10 1
4 6 10 1
4 7 10 0
4 8 10 0
4 9 10 1
5 1 10 1
5 2 10 1
5 3 10 0
5 4 10 1
5 5 10 1
5 6 10 1
5 7 10 1
5 8 10 3
5 9 10 3
