i1 i2 i0 a
0 0 10 3
0 1 10 1
0 2 10 1
0 3 10 1
0 4 10 3
0 5 10 3
0 6 10 3
0 7 10 3
1 0 10 2
1 1 10 0
1 2 10 0
1 3 10 0
1 4 10 0
2 0 10 3
2 1 10 0
2 2 10 0
2 3 10 0
2 4 10 0
2 5 10 0
3 0 10 3
3 2 10 0
3 3 10 0
3 4 10 0
3 5 10 0
3 6 10 3
3 7 10 3
4 0 10 3
4 3 10 1
4 4 10 3
4 5 10 3
4 6 10 3
i1 i2 i0 a
0 0 10 3
0 1 10 1
0 2 10 1
0 3 10 1
0 4 10 3
0 5 10 3
0 6 10 3
0 7 10 3
1 0 10 2
1 1 10 0
1 2 10 0
1 3 10 0
1 4 10 0
2 0 10 3
2 1 10 0
2 2 10 0
2 3 10 0
2 4 10 0
2 5 10 0
3 0 10 3
3 2 10 0
3 3 10 0
3 4 10 0
3 5 10 0
3 6 10 3
3 7 10 3
4 0 10 3
4 3 10 1
4 4 10 3
4 5 10 3
4 6 10 3
